date,open,close,high,low,volume,turnover,amount
2019-06-17,0.988,0.983,0.999,0.971,85696758.0,,84837789.0
2019-06-18,0.983,0.997,0.998,0.98,30746458.0,,30457272.0
2019-06-19,1.013,1.004,1.028,1.0,46744458.0,,47398852.0
2019-06-20,1.005,1.028,1.032,1.001,13156900.0,,13415532.0
2019-06-21,1.028,1.043,1.048,1.028,5658100.0,,5899973.0
2019-06-24,1.043,1.042,1.044,1.035,8461300.0,,8786796.0
2019-06-25,1.035,1.03,1.04,1.018,2405300.0,,2479580.0
2019-06-26,0.338,0.352,0.353,0.338,8423400.0,0.0,8819000.0
2019-06-27,0.357,0.356,0.357,0.352,5621600.0,0.0,5985599.999999999
2019-06-28,0.356,0.352,0.356,0.349,5278100.0,0.0,5557700.0
2019-07-01,0.359,0.361,0.361,0.355,7788600.0,0.0,8398600.0
2019-07-02,1.084,1.098,1.102,1.078,7463400.0,,8172550.0
2019-07-03,1.098,1.084,1.098,1.081,4196100.0,,4566588.0
2019-07-04,1.089,1.07,1.089,1.065,4152900.0,,4460915.0
2019-07-05,1.07,1.078,1.08,1.07,2950500.0,,3167637.0
2019-07-08,0.358,0.352,0.358,0.348,5109600.0,0.0,5398900.0
2019-07-09,1.046,1.064,1.066,1.045,4360700.0,,4621652.0
2019-07-10,0.355,0.355,0.358,0.354,4831000.0,0.0,5147500.0
2019-07-11,1.064,1.077,1.088,1.064,5269900.0,,5689596.0
2019-07-12,0.359,0.36,0.361,0.356,3939000.0,0.0,4251300.0
2019-07-15,1.08,1.086,1.09,1.065,4648900.0,,5002519.0
2019-07-16,1.1,1.082,1.1,1.078,3604100.0,,3916685.0
2019-07-17,1.074,1.076,1.082,1.072,2494000.0,,2684019.0
2019-07-18,0.356,0.352,0.356,0.352,3459100.0,0.0,3670700.0
2019-07-19,0.354,0.354,0.357,0.353,3093600.0,0.0,3294100.0000000005
2019-07-22,0.354,0.349,0.354,0.347,3468200.0,0.0,3644500.0
2019-07-23,1.052,1.056,1.056,1.046,3362400.0,,3527335.0
2019-07-24,0.353,0.355,0.357,0.353,3416900.0,0.0,3630600.0
2019-07-25,0.355,0.355,0.357,0.354,2650500.0,0.0,2828399.9999999995
2019-07-26,0.36,0.359,0.36,0.355,4385100.0,0.0,4699300.0
2019-07-29,1.07,1.064,1.074,1.062,3102900.0,,3308539.0
2019-07-30,1.067,1.071,1.077,1.067,3701558.0,,3969874.0
2019-07-31,0.357,0.355,0.357,0.354,3137600.0,0.0,3340100.0
2019-08-01,1.058,1.061,1.062,1.056,3032000.0,,3214298.0
2019-08-02,1.048,1.06,1.062,1.041,3602500.0,,3806577.0
2019-08-05,1.06,1.051,1.071,1.05,3529200.0,,3739566.0
2019-08-06,0.35,0.346,0.35,0.341,6862200.0,0.0,7063900.0
2019-08-07,1.041,1.04,1.048,1.035,3058600.0,,3188112.0
2019-08-08,1.04,1.058,1.059,1.04,3097400.0,,3263562.0
2019-08-09,1.058,1.06,1.071,1.056,3234200.0,,3444597.0
2019-08-12,1.068,1.075,1.075,1.06,3189700.0,,3409248.0
2019-08-13,0.359,0.358,0.36,0.356,2683000.0,0.0,2885899.9999999995
2019-08-14,0.361,0.363,0.365,0.359,3697600.0,0.0,4026200.0
2019-08-15,1.077,1.104,1.105,1.077,3876300.0,,4251453.0
2019-08-16,0.367,0.37,0.375,0.367,6793700.0,0.0,7554500.0
2019-08-19,1.115,1.134,1.135,1.115,3873600.0,,4366489.0
2019-08-20,1.132,1.141,1.146,1.132,2913500.0,,3320615.0
2019-08-21,1.145,1.131,1.145,1.128,3101800.0,,3513521.0
2019-08-22,1.133,1.135,1.14,1.125,2756900.0,,3118007.0
2019-08-23,0.377,0.386,0.387,0.376,5746900.0,0.0,6595100.0
2019-08-26,1.141,1.16,1.166,1.134,6007600.0,,6942006.0
2019-08-27,0.387,0.391,0.393,0.387,4274300.0,0.0,5019300.0
2019-08-28,0.391,0.387,0.391,0.386,4190100.0,0.0,4872800.0
2019-08-29,0.386,0.386,0.389,0.385,4436400.0,0.0,5152000.0
2019-08-30,0.387,0.386,0.392,0.384,5608400.0,0.0,6540800.0
2019-09-02,0.386,0.396,0.396,0.386,4158300.0,0.0,4903400.0
2019-09-03,1.187,1.178,1.187,1.174,3920800.0,,4620603.0
2019-09-04,0.393,0.391,0.393,0.387,4356700.0,0.0,5094200.0
2019-09-05,1.172,1.176,1.186,1.172,4503300.0,,5312358.0
2019-09-06,1.175,1.182,1.186,1.174,7415500.0,,8746216.0
2019-09-09,0.395,0.399,0.399,0.394,4720700.0,0.0,5627600.0
2019-09-10,1.2,1.207,1.213,1.193,8020400.0,,9674121.0
2019-09-11,1.207,1.189,1.217,1.188,6149500.0,,7388859.0
2019-09-12,1.19,1.201,1.203,1.186,3595700.0,,4296984.0
2019-09-16,1.198,1.207,1.211,1.198,4279500.0,,5164970.0
2019-09-17,0.4,0.394,0.402,0.394,4801100.0,0.0,5714000.0
2019-09-18,1.188,1.193,1.197,1.18,3744500.0,,4456348.0
2019-09-19,0.397,0.404,0.404,0.397,3425500.0,0.0,4130200.0
2019-09-20,1.213,1.215,1.22,1.212,6111400.0,,7427608.0
2019-09-23,1.2,1.199,1.212,1.193,3824900.0,,4587990.0
2019-09-24,1.21,1.231,1.232,1.206,9451300.0,,11542810.0
2019-09-25,1.231,1.219,1.231,1.213,6444800.0,,7878336.0
2019-09-26,0.406,0.397,0.41,0.396,7078200.0,0.0,8498100.0
2019-09-27,1.18,1.199,1.202,1.18,7437500.0,,8870051.0
2019-09-30,1.178,1.196,1.21,1.178,6681200.0,,8011464.0
2019-10-08,0.398,0.401,0.406,0.398,5484800.0,0.0,6637500.0
2019-10-09,1.206,1.2,1.206,1.185,6340600.0,,7551614.0
2019-10-10,0.4,0.414,0.415,0.4,7986200.0,0.0,9807700.0
2019-10-11,0.413,0.416,0.418,0.413,9859500.0,0.0,12307600.0
2019-10-14,1.259,1.256,1.266,1.251,9983000.0,,12552117.0
2019-10-15,0.417,0.416,0.42,0.415,6548500.0,0.0,8202000.0
2019-10-16,0.416,0.422,0.425,0.416,11035500.0,0.0,13933100.0
2019-10-17,1.266,1.268,1.277,1.256,6634700.0,,8401546.0
2019-10-18,0.423,0.424,0.431,0.422,14988800.0,0.0,19152800.0
2019-10-21,1.26,1.243,1.278,1.227,16260200.0,,20285847.0
2019-10-22,1.243,1.253,1.26,1.239,12054000.0,,15018245.0
2019-10-23,0.416,0.409,0.418,0.408,12187400.0,0.0,15077400.0
2019-10-24,0.412,0.407,0.412,0.404,6613400.0,0.0,8063800.0
2019-10-25,0.407,0.411,0.411,0.4,5993700.0,0.0,7359299.999999999
2019-10-28,0.411,0.42,0.421,0.411,9817300.0,0.0,12287200.0
2019-10-29,1.261,1.268,1.275,1.256,9311400.0,,11805562.0
2019-10-30,0.423,0.419,0.423,0.417,12093600.0,0.0,15222800.0
2019-10-31,0.424,0.422,0.427,0.421,9457100.0,0.0,12036500.0
2019-11-01,0.425,0.431,0.431,0.421,14186700.0,0.0,18185600.0
2019-11-04,0.431,0.441,0.441,0.431,16403800.0,0.0,21612800.000000004
2019-11-05,0.441,0.44,0.442,0.438,14580900.0,0.0,19252500.0
2019-11-06,0.44,0.437,0.442,0.436,16099800.0,0.0,21148900.0
2019-11-07,1.306,1.326,1.334,1.304,15255500.0,,20200173.0
2019-11-08,0.445,0.44,0.446,0.439,14538800.0,0.0,19248000.0
2019-11-11,0.439,0.429,0.439,0.427,20967100.0,0.0,27172800.000000004
2019-11-12,1.286,1.295,1.295,1.278,18753200.0,,24131466.0
2019-11-13,1.291,1.322,1.327,1.29,29370400.0,,38557497.0
2019-11-14,1.321,1.333,1.337,1.32,22551700.0,,29995377.0
2019-11-15,1.333,1.325,1.339,1.321,18009000.0,,23951421.0
2019-11-18,1.325,1.328,1.33,1.315,18865800.0,,24969089.0
2019-11-19,1.328,1.365,1.366,1.326,28515900.0,,38609646.0
2019-11-20,1.36,1.37,1.382,1.36,29520700.0,,40469041.0
2019-11-21,1.369,1.344,1.369,1.34,40648500.0,,54909353.0
2019-11-22,1.338,1.294,1.352,1.279,49166200.0,,64519733.0
2019-11-25,1.29,1.27,1.297,1.253,25093400.0,,31921821.0
2019-11-26,1.279,1.27,1.282,1.264,19472800.0,,24785684.0
2019-11-27,1.275,1.263,1.275,1.25,20351100.0,,25663651.0
2019-11-28,1.267,1.26,1.268,1.254,23382200.0,,29477471.0
2019-11-29,1.258,1.233,1.258,1.22,33337800.0,,41105399.0
2019-12-02,1.234,1.22,1.237,1.218,27554100.0,,33694612.0
2019-12-03,1.215,1.225,1.225,1.198,35988400.0,,43535571.0
2019-12-04,1.219,1.231,1.236,1.215,21227900.0,,26090174.0
2019-12-05,1.232,1.247,1.25,1.232,21604600.0,,26873209.0
2019-12-06,1.247,1.252,1.252,1.242,18292700.0,,22805127.0
2019-12-09,1.251,1.231,1.256,1.223,34171100.0,,42052354.0
2019-12-10,1.232,1.25,1.25,1.224,23896400.0,,29659374.0
2019-12-11,1.251,1.245,1.252,1.241,20404100.0,,25442566.0
2019-12-12,0.417,0.414,0.417,0.413,19954700.0,0.0,24817400.0
2019-12-13,0.416,0.422,0.423,0.415,34885699.0,0.0,43962500.0
2019-12-16,0.422,0.427,0.427,0.422,28178100.0,0.0,35887000.0
2019-12-17,0.428,0.431,0.432,0.424,36349500.0,0.0,46681200.0
