date,open,high,low,close,volume,amount,outstanding_share,turnover
1997-04-22,4.58,5.26,4.46,5.12,11339900.0,189051436.0,15750000.0,0.7199936507936507
1997-04-23,4.99,5.15,4.86,5.04,4757900.0,82807674.0,15750000.0,0.3020888888888889
1997-04-24,5.0,5.03,4.8,4.88,2601200.0,44571378.0,15750000.0,0.1651555555555555
1997-04-25,4.83,5.38,4.72,5.15,4884400.0,87377589.0,15750000.0,0.3101206349206349
1997-04-28,5.29,5.58,5.17,5.5,3887500.0,73188421.0,15750000.0,0.2468253968253968
1997-04-29,5.58,5.62,4.98,5.09,2073100.0,37512562.0,15750000.0,0.1316253968253968
1997-04-30,5.12,5.2,4.98,5.06,1092300.0,19282928.0,15750000.0,0.0693523809523809
1997-05-05,4.96,5.16,4.96,5.03,1098300.0,19364098.0,15750000.0,0.0697333333333333
1997-05-06,5.03,5.09,4.89,4.93,1348300.0,23317764.0,15750000.0,0.0856063492063492
1997-05-07,4.95,5.14,4.81,5.02,1258300.0,21914324.0,15750000.0,0.0798920634920634
1997-05-08,5.02,5.02,4.6,4.69,941800.0,15956346.0,15750000.0,0.0597968253968254
1997-05-09,4.6,4.83,4.6,4.8,724000.0,11956682.0,15750000.0,0.0459682539682539
1997-05-12,4.86,4.98,4.86,4.9,720100.0,12362049.0,15750000.0,0.0457206349206349
1997-05-13,4.93,4.95,4.69,4.77,556600.0,9289560.0,15750000.0,0.0353396825396825
1997-05-14,4.72,4.86,4.58,4.6,519200.0,8491895.0,15750000.0,0.0329650793650793
1997-05-15,4.6,4.78,4.58,4.75,451500.0,7376284.0,15750000.0,0.0286666666666666
1997-05-16,4.29,4.63,4.28,4.28,570000.0,8800723.0,15750000.0,0.0361904761904761
1997-05-19,4.28,4.55,4.2,4.31,387400.0,5824777.0,15750000.0,0.0245968253968253
1997-05-20,4.32,4.35,4.29,4.33,392900.0,5934822.0,15750000.0,0.0249460317460317
1997-05-21,4.36,4.37,4.02,4.07,340000.0,4952552.0,15750000.0,0.0215873015873015
1997-05-22,3.66,3.86,3.66,3.66,501000.0,6442975.0,15750000.0,0.0318095238095238
1997-05-23,3.59,3.66,3.37,3.5,469000.0,5723206.0,15750000.0,0.0297777777777777
1997-05-26,3.52,3.56,3.35,3.46,425300.0,5135756.0,15750000.0,0.0270031746031746
1997-05-27,3.52,3.81,3.51,3.81,874800.0,11396003.0,15750000.0,0.0555428571428571
1997-05-28,3.88,4.0,3.75,3.79,981700.0,13293980.0,15750000.0,0.0623301587301587
1997-05-29,3.72,3.88,3.72,3.75,339700.0,4517643.0,15750000.0,0.0215682539682539
1997-05-30,3.86,3.86,3.72,3.83,251300.0,3328676.0,15750000.0,0.0159555555555555
1997-06-02,3.86,4.0,3.86,3.92,413400.0,5694271.0,15750000.0,0.026247619047619
1997-06-03,3.92,4.12,3.92,4.0,661700.0,9272041.0,15750000.0,0.0420126984126984
1997-06-04,4.03,4.05,3.92,3.97,380900.0,5301469.0,15750000.0,0.0241841269841269
1997-06-05,3.97,3.97,3.82,3.85,348200.0,4711326.0,15750000.0,0.0221079365079365
1997-06-06,3.57,3.69,3.47,3.5,655200.0,8154868.0,15750000.0,0.0416
1997-06-09,3.57,3.6,3.43,3.55,201400.0,2475669.0,15750000.0,0.0127873015873015
1997-06-10,3.54,3.55,3.35,3.41,243900.0,2942913.0,15750000.0,0.0154857142857142
1997-06-11,3.37,3.49,3.09,3.28,337300.0,3770991.0,15750000.0,0.021415873015873
1997-06-12,3.3,3.37,3.23,3.26,250300.0,2870404.0,15750000.0,0.0158920634920634
1997-06-13,3.03,3.4,3.03,3.4,471200.0,5423928.0,15750000.0,0.0299174603174603
1997-06-16,3.43,3.57,3.43,3.54,354800.0,4375835.0,15750000.0,0.0225269841269841
1997-06-17,3.55,3.55,3.4,3.41,228500.0,2748494.0,15750000.0,0.0145079365079365
1997-06-18,3.43,3.49,3.32,3.42,263600.0,3140158.0,15750000.0,0.0167365079365079
1997-06-19,3.49,3.49,3.36,3.36,121500.0,1444539.0,15750000.0,0.0077142857142857
1997-06-20,3.43,3.57,3.4,3.55,361800.0,4416745.0,15750000.0,0.0229714285714285
1997-06-23,3.6,3.66,3.42,3.42,484000.0,5947365.0,15750000.0,0.0307301587301587
1997-06-24,3.45,3.57,3.43,3.57,424800.0,5232543.0,15750000.0,0.0269714285714285
1997-06-25,3.57,3.66,3.52,3.65,620600.0,7857916.0,15750000.0,0.0394031746031746
1997-06-26,3.66,3.68,3.57,3.6,275900.0,3490706.0,15750000.0,0.0175174603174603
1997-06-27,3.56,3.63,3.37,3.4,443200.0,5377101.0,15750000.0,0.0281396825396825
1997-07-02,3.43,3.45,3.07,3.25,231300.0,2654058.0,15750000.0,0.0146857142857142
1997-07-03,3.17,3.26,3.09,3.17,217100.0,2398237.0,15750000.0,0.0137841269841269
1997-07-04,3.12,3.34,3.12,3.33,296600.0,3380742.0,15750000.0,0.018831746031746
1997-07-07,3.35,3.36,3.09,3.13,331000.0,3689506.0,15750000.0,0.021015873015873
1997-07-08,3.12,3.23,3.02,3.19,283100.0,3110184.0,15750000.0,0.0179746031746031
1997-07-09,3.21,3.3,3.12,3.29,254900.0,2878405.0,15750000.0,0.0161841269841269
1997-07-10,3.17,3.35,3.17,3.21,215800.0,2484894.0,15750000.0,0.0137015873015873
1997-07-11,3.2,3.46,3.16,3.46,362000.0,4234782.0,15750000.0,0.0229841269841269
1997-07-14,3.51,3.69,3.49,3.66,820200.0,10345669.0,15750000.0,0.0520761904761904
1997-07-15,3.72,3.72,3.58,3.63,612700.0,7804243.0,15750000.0,0.0389015873015873
1997-07-16,3.68,3.68,3.52,3.53,417100.0,5257185.0,15750000.0,0.0264825396825396
1997-07-17,3.51,3.68,3.47,3.57,300900.0,3737404.0,15750000.0,0.0191047619047619
1997-07-18,3.57,3.93,3.57,3.93,1556100.0,20725098.0,15750000.0,0.0988
1997-07-21,3.95,3.95,3.77,3.8,785900.0,10695311.0,15750000.0,0.0498984126984127
1997-07-22,3.83,3.93,3.66,3.92,521300.0,6950336.0,15750000.0,0.0330984126984126
1997-07-23,3.89,4.02,3.86,3.9,649600.0,8943448.0,15750000.0,0.0412444444444444
1997-07-24,3.92,3.92,3.7,3.71,484200.0,6382504.0,15750000.0,0.0307428571428571
1997-07-25,3.66,3.7,3.56,3.62,372000.0,4726988.0,15750000.0,0.0236190476190476
1997-07-28,3.6,3.67,3.55,3.59,158000.0,1989935.0,15750000.0,0.010031746031746
1997-07-29,3.6,3.69,3.55,3.63,154900.0,1957609.0,15750000.0,0.0098349206349206
1997-07-30,3.63,3.76,3.63,3.74,262900.0,3405384.0,15750000.0,0.0166920634920634
1997-07-31,3.77,3.8,3.67,3.71,187400.0,2461141.0,15750000.0,0.0118984126984126
1997-08-01,3.73,3.77,3.43,3.7,155600.0,2002692.0,15750000.0,0.009879365079365
1997-08-04,3.75,3.88,3.72,3.83,334600.0,4469164.0,15750000.0,0.0212444444444444
1997-08-05,3.86,3.87,3.73,3.77,182900.0,2420392.0,15750000.0,0.0116126984126984
1997-08-06,3.77,3.78,3.58,3.59,234400.0,3001687.0,15750000.0,0.0148825396825396
1997-08-07,3.57,3.63,3.5,3.63,235700.0,2929135.0,15750000.0,0.0149650793650793
1997-08-08,3.66,3.66,3.37,3.49,396000.0,4880277.0,15750000.0,0.0251428571428571
1997-08-11,3.43,3.45,3.26,3.4,432500.0,5099859.0,15750000.0,0.0274603174603174
1997-08-12,3.37,3.37,3.29,3.31,197900.0,2309128.0,15750000.0,0.0125650793650793
1997-08-13,3.31,3.4,3.29,3.29,143900.0,1672452.0,15750000.0,0.0091365079365079
1997-08-14,3.29,3.31,3.15,3.16,199700.0,2267412.0,15750000.0,0.012679365079365
1997-08-15,3.15,3.32,3.15,3.2,173400.0,1950941.0,15750000.0,0.0110095238095238
1997-08-18,3.17,3.2,3.03,3.07,229200.0,2502186.0,15750000.0,0.0145523809523809
1997-08-19,3.23,3.25,3.16,3.17,82000.0,920455.0,15750000.0,0.0052063492063492
1997-08-20,3.19,3.26,3.18,3.25,74700.0,843033.0,15750000.0,0.0047428571428571
1997-08-21,3.25,3.45,3.2,3.41,241900.0,2851582.0,15750000.0,0.0153587301587301
