date,open,high,low,close,volume
1991-04-03,988.05,988.05,988.05,988.05,100
1991-04-04,983.11,983.11,983.11,983.11,52300
1991-04-05,978.27,978.27,978.27,978.27,10700
1991-04-08,968.57,968.57,968.57,968.57,5700
1991-04-09,963.73,963.73,963.73,963.73,1900
1991-04-10,958.88,958.88,958.88,958.88,4500
1991-04-11,954.03,954.03,954.03,954.03,4500
1991-04-12,949.31,949.31,949.31,949.31,6800
1991-04-15,939.98,939.98,939.98,939.98,5000
1991-04-16,935.38,935.38,935.38,935.38,2200
1991-04-17,930.78,930.78,930.78,930.78,2100
1991-04-18,926.18,926.18,926.18,926.18,1400
1991-04-19,921.58,921.58,921.58,921.58,1700
1991-04-23,907.78,907.78,907.78,907.78,4800
1991-04-24,903.31,903.31,903.31,903.31,4600
1991-04-25,898.84,898.84,898.84,898.84,5000
1991-04-26,894.36,894.36,894.36,894.36,5300
1991-04-29,885.43,885.43,885.43,885.43,4900
1991-04-30,880.98,880.98,880.98,880.98,14200
1991-05-02,876.57,876.57,876.57,876.57,7200
1991-05-03,872.16,872.16,872.16,872.16,7800
1991-05-06,863.35,863.35,863.35,863.35,12400
1991-05-07,859.06,859.06,859.06,859.06,10200
1991-05-08,854.78,854.78,854.78,854.78,30900
1991-05-09,850.5,850.5,850.5,850.5,45000
1991-05-10,846.22,846.22,846.22,846.22,70000
1991-05-13,837.66,837.66,837.66,837.66,155400
1991-05-14,834.44,835.01,833.38,835.01,316000
1991-05-15,832.36,832.54,832.36,832.54,395700
1991-05-16,830.06,830.06,830.06,830.06,591800
1991-05-17,827.72,827.72,827.72,827.72,901400
1991-05-20,822.67,822.67,822.67,822.67,563100
1991-05-21,820.15,820.15,820.15,820.15,370800
1991-05-22,817.63,817.63,817.63,817.63,453300
1991-05-23,814.16,815.22,813.59,813.59,326700
1991-05-24,809.56,809.56,809.56,809.56,100800
1991-05-27,801.48,801.48,801.48,801.48,132000
1991-05-28,797.98,797.98,797.98,797.98,17800
1991-05-29,794.61,794.61,794.61,794.61,13600
1991-05-30,791.23,791.23,791.23,791.23,20400
1991-05-31,787.85,787.85,787.85,787.85,8100
1991-06-03,781.1,781.1,781.1,781.1,25700
1991-06-04,777.72,777.72,777.72,777.72,80100
