date,open,high,low,close,volume,amount
2015-01-05,1256.423,1257.3,1230.73,1248.527,58244913,1026979920.0
2015-01-06,1244.281,1280.364,1230.423,1280.239,85771706,1716103000.0
2015-01-07,1276.526,1283.183,1263.467,1278.83,54690321,1041236300.0
2015-01-08,1274.673,1291.107,1274.226,1282.794,57557528,1130868880.0
2015-01-09,1279.178,1306.0,1267.167,1285.942,71317159,1839213400.0
2015-01-12,1271.582,1275.537,1256.248,1272.147,53281882,1210715890.0
2015-01-13,1273.631,1336.563,1272.609,1336.332,99954454,2475452600.0
2015-01-14,1342.649,1373.87,1335.117,1358.928,121434514,3178667400.0
2015-01-15,1347.315,1354.233,1338.544,1347.315,67552703,1813071000.0
2015-01-16,1344.865,1369.851,1339.966,1367.647,71794398,2010349100.0
2015-01-19,1338.802,1405.568,1325.125,1351.608,117533466,3094959900.0
2015-01-20,1358.857,1412.798,1358.611,1409.972,103658959,2712373000.0
2015-01-21,1406.895,1426.507,1406.254,1414.714,99137272,2478690300.0
2015-01-22,1416.385,1465.515,1416.385,1465.257,106311476,2685768000.0
2015-01-23,1472.316,1474.581,1440.88,1453.401,96454582,2481201700.0
2015-01-26,1454.193,1477.58,1447.851,1477.316,78593240,1967568700.0
2015-01-27,1476.375,1482.419,1443.337,1465.363,78906685,2031298500.0
2015-01-28,1464.563,1474.688,1452.307,1455.371,60542816,1561803700.0
2015-01-29,1451.798,1456.826,1428.38,1428.777,58921150,1521088400.0
2015-01-30,1430.062,1435.141,1406.046,1412.021,57453529,1329296480.0
2015-02-02,1406.09,1418.233,1399.312,1407.926,82449829,1394366600.0
2015-02-03,1421.749,1434.42,1414.325,1434.42,61601749,1431314900.0
2015-02-04,1446.286,1449.546,1430.247,1438.071,68021805,1694078800.0
2015-02-05,1440.685,1458.988,1435.848,1442.646,75045892,1990621800.0
2015-02-06,1439.367,1443.957,1400.678,1409.727,68201587,1848221600.0
2015-02-09,1407.471,1412.29,1394.732,1399.602,47907141,1310092690.0
2015-02-10,1403.164,1422.122,1398.584,1420.468,42616787,1219784250.0
2015-02-11,1417.784,1441.904,1417.784,1438.804,45680796,1321544320.0
2015-02-12,1438.28,1447.567,1433.833,1445.867,47840603,1294523920.0
2015-02-13,1447.97,1500.941,1447.838,1496.34,95186283,2493832100.0
2015-02-16,1499.332,1531.708,1489.81,1528.171,106250885,2734322700.0
2015-02-17,1541.797,1604.961,1541.16,1591.972,144322140,4026215600.0
2015-02-25,1609.048,1640.986,1603.724,1612.907,118016661,3256859300.0
2015-02-26,1609.681,1629.573,1579.707,1615.191,103196695,3247078200.0
2015-02-27,1617.344,1651.667,1614.921,1649.244,113253138,3592924300.0
2015-03-02,1645.258,1721.673,1635.362,1718.924,151758180,4859941200.0
2015-03-03,1712.764,1805.872,1700.302,1749.148,191990070,5973334000.0
2015-03-04,1741.859,1876.398,1741.859,1875.232,203886480,6000120000.0
2015-03-05,1915.236,1929.457,1874.606,1879.607,232756430,7190900800.0
2015-03-06,1858.931,1870.992,1800.506,1801.759,174500920,5660344100.0
2015-03-09,1796.503,1919.173,1791.549,1893.198,187283830,5805882900.0
2015-03-10,1893.355,1975.078,1887.833,1961.984,185401720,6456257500.0
2015-03-11,1972.685,1972.685,1900.181,1911.135,149227150,5491818300.0
2015-03-12,1907.66,1908.876,1827.204,1885.812,144077030,4709398200.0
2015-03-13,1876.382,1909.541,1851.867,1906.084,125821838,4132432200.0
2015-03-16,1923.874,2013.142,1923.874,1991.381,226831130,7737104500.0
2015-03-17,1979.764,2022.081,1948.234,1997.521,207377070,7140461500.0
2015-03-18,1985.036,2024.321,1972.052,2022.323,145169170,4573511000.0
2015-03-19,2020.469,2027.378,1988.449,2011.031,186146930,4476143100.0
2015-03-20,2004.997,2053.932,2002.316,2023.264,171045940,4744117000.0
2015-03-23,2025.961,2055.299,2003.874,2054.455,162087900,5565960800.0
2015-03-24,2053.77,2055.139,1971.934,2049.49,191392980,6632635500.0
2015-03-25,2044.878,2086.893,2000.302,2072.546,179247710,7016444400.0
2015-03-26,2047.33,2053.202,1980.317,1996.552,161191850,5264632600.0
2015-03-27,1982.076,2048.961,1979.414,2039.644,173312620,5143795000.0
2015-03-30,2026.386,2028.765,1988.312,2015.508,162343950,5378037400.0
2015-03-31,2038.182,2097.304,2014.836,2075.973,181965390,6555424300.0
2015-04-01,2088.601,2142.75,2079.605,2138.944,162297000,6085248600.0
2015-04-02,2149.282,2168.889,2125.575,2168.532,156618740,5437907100.0
2015-04-03,2155.52,2210.818,2135.461,2203.589,189214690,5269892700.0
2015-04-07,2194.958,2272.634,2176.044,2241.233,175871690,5978546100.0
2015-04-08,2250.758,2251.131,2120.393,2151.957,163461220,5596583300.0
2015-04-09,2164.51,2164.51,2019.97,2116.27,147969530,5533447700.0
2015-04-10,2123.853,2238.308,2116.799,2231.077,151153800,5375511200.0
2015-04-13,2281.276,2348.952,2274.025,2334.264,212298260,6778365200.0
2015-04-14,2365.776,2428.412,2327.261,2427.829,200444570,6928006700.0
2015-04-15,2402.888,2408.406,2300.257,2315.486,146882900,6039933100.0
2015-04-16,2276.964,2437.785,2231.286,2372.741,160211790,6618423500.0
2015-04-17,2368.642,2377.702,2312.991,2316.01,150916220,5982881900.0
2015-04-20,2293.692,2311.377,2203.999,2223.79,169363740,5537805900.0
